schema_version	case_id	metagenome_id	query_id	source_query_id	source_query_sha256	reference_id	background_id	background_source_sha256	source_manifest_sha256	truth_class	query_length	source_query_start	source_query_end	identity_target_percent	substitution_identity_percent	coverage_target_percent	coverage_target_bases	coverage_union_bases	fragment_count	fragment_id	orientation	origin_crossing	indel_profile	mutation_events_json	query_intervals_json	contig_id	contig_start	contig_end	query_sha256	contig_sha256	background_reused	label
jam-trace-controlled-truth-v1	q10000__NC_001735.1__i100__c100__n1__forward__none__bg_background_only	q10000__NC_001735.1__i100__c100__n1__forward__none__bg_background_only	NC_001735.1	NC_001735.1	997fe17322005c563a824ed176c80d5646d9eba3a8cd62aa41925faa5e8638a8	NC_001735.1	background_only	6d67e653381dd38dbb4fcfc694189d961edef0b536720ee0eeb00a4dfd710903	c37919238c230b7541bdf764886130660e64c78d2cdc3f763d8985352a7f5ed2	controlled_spike_in	10000	24366	34366	100	100.000000	100	10000	10000	1	1	forward	true	none	[]	[[0,10000]]	trace_q10000__NC_001735.1__i100__c100__n1__forward__none__bg_background_only_fragment_01	0	10000	c143f368b4e3319bf45afba274c0f17a6aaa80040231c71698f8d84eb22bbf09	f67f66b17c1578d36c73cd66e13dc803711a0d8da275ced5a3c92243eadd70f8	true	standard
jam-trace-controlled-truth-v1	q10000__NC_001735.1__i100__c10__n1__forward__none__bg_background_only	q10000__NC_001735.1__i100__c10__n1__forward__none__bg_background_only	NC_001735.1	NC_001735.1	997fe17322005c563a824ed176c80d5646d9eba3a8cd62aa41925faa5e8638a8	NC_001735.1	background_only	6d67e653381dd38dbb4fcfc694189d961edef0b536720ee0eeb00a4dfd710903	c37919238c230b7541bdf764886130660e64c78d2cdc3f763d8985352a7f5ed2	controlled_spike_in	10000	24366	34366	100	100.000000	10	1000	1000	1	1	forward	false	none	[]	[[4567,5567]]	trace_q10000__NC_001735.1__i100__c10__n1__forward__none__bg_background_only_fragment_01	0	1000	c143f368b4e3319bf45afba274c0f17a6aaa80040231c71698f8d84eb22bbf09	0c29bda0d4039091752a38b61f684783cac37719cd7b2d6f11eff58b4ae02f25	true	standard
jam-trace-controlled-truth-v1	q10000__NC_001735.1__i100__c20__n1__forward__none__bg_background_only	q10000__NC_001735.1__i100__c20__n1__forward__none__bg_background_only	NC_001735.1	NC_001735.1	997fe17322005c563a824ed176c80d5646d9eba3a8cd62aa41925faa5e8638a8	NC_001735.1	background_only	6d67e653381dd38dbb4fcfc694189d961edef0b536720ee0eeb00a4dfd710903	c37919238c230b7541bdf764886130660e64c78d2cdc3f763d8985352a7f5ed2	controlled_spike_in	10000	24366	34366	100	100.000000	20	2000	2000	1	1	forward	false	none	[]	[[3752,5752]]	trace_q10000__NC_001735.1__i100__c20__n1__forward__none__bg_background_only_fragment_01	0	2000	c143f368b4e3319bf45afba274c0f17a6aaa80040231c71698f8d84eb22bbf09	9954c24053d62c64a1f1a77fa16eb340389483ee7dfe96d06e71207c8aa1d975	true	standard
jam-trace-controlled-truth-v1	q10000__NC_001735.1__i100__c50__n1__forward__none__bg_background_only	q10000__NC_001735.1__i100__c50__n1__forward__none__bg_background_only	NC_001735.1	NC_001735.1	997fe17322005c563a824ed176c80d5646d9eba3a8cd62aa41925faa5e8638a8	NC_001735.1	background_only	6d67e653381dd38dbb4fcfc694189d961edef0b536720ee0eeb00a4dfd710903	c37919238c230b7541bdf764886130660e64c78d2cdc3f763d8985352a7f5ed2	controlled_spike_in	10000	24366	34366	100	100.000000	50	5000	5000	1	1	forward	false	none	[]	[[1051,6051]]	trace_q10000__NC_001735.1__i100__c50__n1__forward__none__bg_background_only_fragment_01	0	5000	c143f368b4e3319bf45afba274c0f17a6aaa80040231c71698f8d84eb22bbf09	7477d693e032c90e3e56c0d8b0bb7dcee58e459537646992246a3b9bd11064e6	true	standard
jam-trace-controlled-truth-v1	q10000__NC_001735.1__i100__c5__n1__forward__none__bg_background_only	q10000__NC_001735.1__i100__c5__n1__forward__none__bg_background_only	NC_001735.1	NC_001735.1	997fe17322005c563a824ed176c80d5646d9eba3a8cd62aa41925faa5e8638a8	NC_001735.1	background_only	6d67e653381dd38dbb4fcfc694189d961edef0b536720ee0eeb00a4dfd710903	c37919238c230b7541bdf764886130660e64c78d2cdc3f763d8985352a7f5ed2	controlled_spike_in	10000	24366	34366	100	100.000000	5	500	500	1	1	forward	false	none	[]	[[9179,9679]]	trace_q10000__NC_001735.1__i100__c5__n1__forward__none__bg_background_only_fragment_01	0	500	c143f368b4e3319bf45afba274c0f17a6aaa80040231c71698f8d84eb22bbf09	76f53c8309d142b4d8a7558aa62e90678c01e6a3db14dd06547ae1b587c8cd00	true	standard
jam-trace-controlled-truth-v1	q10000__NC_001735.1__i100__c80__n1__forward__none__bg_background_only	q10000__NC_001735.1__i100__c80__n1__forward__none__bg_background_only	NC_001735.1	NC_001735.1	997fe17322005c563a824ed176c80d5646d9eba3a8cd62aa41925faa5e8638a8	NC_001735.1	background_only	6d67e653381dd38dbb4fcfc694189d961edef0b536720ee0eeb00a4dfd710903	c37919238c230b7541bdf764886130660e64c78d2cdc3f763d8985352a7f5ed2	controlled_spike_in	10000	24366	34366	100	100.000000	80	8000	8000	1	1	forward	true	none	[]	[[0,4624],[6624,10000]]	trace_q10000__NC_001735.1__i100__c80__n1__forward__none__bg_background_only_fragment_01	0	8000	c143f368b4e3319bf45afba274c0f17a6aaa80040231c71698f8d84eb22bbf09	fadfa4c24fb8471d71db2cfc142074fbb8b6865779f01500167124f9b2e9e8e8	true	standard
